X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.532377568999948,43.464623186000011,25,INVERTED U,City of Waterloo,,101 FATHER DAVID BAUER DR,2,-80.5323775685601,43.4646231859826,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.532390538999948,43.464627629,26,INVERTED U,City of Waterloo,,101 FATHER DAVID BAUER DR,2,-80.5323905393643,43.4646276286413,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.524349099999938,43.466153677000023,27,RING RACK,City of Waterloo,,35 ALBERT ST,10,-80.5243490998074,43.4661536770265,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526565393999988,43.465467616000012,28,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5265653939822,43.4654676164443,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526574549999964,43.46546789300001,29,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5265745498788,43.4654678929671,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526584688999947,43.465467935000021,30,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5265846891793,43.4654679349457,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526594497999952,43.46546845200001,31,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5265944984064,43.4654684518864,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526605619999941,43.465468259,32,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5266056198745,43.4654682593144,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526615430999982,43.465468539000028,33,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5266154309568,43.4654685385464,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526624917999982,43.465468339000012,34,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5266249181703,43.465468339207,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526634404999982,43.465468141,35,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5266344053768,43.4654681407671,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526720435999948,43.465467306000022,36,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267204355485,43.4654673056006,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526741365999953,43.46546763,37,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267413662444,43.4654676299445,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526751176999937,43.465467909000012,38,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267511773273,43.4654679091648,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526760664999983,43.465467710000013,39,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267606645404,43.4654677098141,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526701139999943,43.465466987000013,40,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267011403506,43.465466987122,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526730244999953,43.465467823000012,41,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267302447767,43.4654678225297,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526710295999976,43.465467264000011,42,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267102962479,43.465467263634,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526770151999983,43.465467511000014,43,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5267701517464,43.4654675113629,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526855523999984,43.465467150000023,44,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5268555242522,43.4654671497026,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526876454999979,43.465467474,45,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5268764549489,43.4654674740217,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526886265999963,43.465467753000013,46,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5268862660325,43.4654677532305,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526895752999962,43.465467554000014,47,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5268957532452,43.4654675538685,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526845384999945,43.465467108000013,48,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5268453849514,43.465467107748,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526905239999962,43.465467355000015,49,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5269052404509,43.4654673554062,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526992907999954,43.465466288000016,50,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5269929079708,43.465466288194,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.527013838999949,43.465466612000029,51,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5270138386682,43.4654666124879,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.52702365,43.465466892000023,52,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5270236497524,43.4654668916849,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.527033136999989,43.465466692,53,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5270331369646,43.4654666923116,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.526973612999939,43.465465970000025,54,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5269736127713,43.4654659697614,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.527002716999959,43.465466805,55,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5270027172013,43.4654668050996,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
